Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,2013 sales,Days to Ship Actual,Days to Ship Scheduled,Discount,Número de registros,Profit,Profit per Customer,Profit per Order,Profit Ratio,Quantity,Row ID,Sales,Sales estimate,Sales Forecast,Sales per Customer,Units estimate
Office Supplies,Houston,United States,DP-13000,Darren Powers,1/3/2013,CA-2011-103800,77095,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,1/7/2013,Standard Class,Shipped Early,Texas,Paper,$0.0K,4,6,20.00%,1,$6 ,$5.55 ,$5.55 ,33.80%,2,7981,$16 ,$0.0K,$25 ,$16.45 ,3
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,1/4/2013,CA-2011-112326,60540,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,Central,Home Office,1/8/2013,Standard Class,Shipped Early,Illinois,Binders,$0.0K,4,6,80.00%,1,($5),($5.49),($5.49),-155.00%,2,742,$4 ,$0.0K,$5 ,$3.54 ,3
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,1/4/2013,CA-2011-112326,60540,OFF-LA-10003223,Avery 508,Central,Home Office,1/8/2013,Standard Class,Shipped Early,Illinois,Labels,$0.0K,4,6,20.00%,1,$4 ,$4.27 ,$4.27 ,36.30%,3,740,$12 ,$0.0K,$18 ,$11.78 ,4
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,1/4/2013,CA-2011-112326,60540,OFF-ST-10002743,SAFCO Boltless Steel Shelving,Central,Home Office,1/8/2013,Standard Class,Shipped Early,Illinois,Storage,$0.3K,4,6,20.00%,1,($65),($64.77),($64.77),-23.80%,3,741,$273 ,$0.4K,$408 ,$272.74 ,4
Office Supplies,Philadelphia,United States,MB-18085,Mick Brown,1/5/2013,CA-2011-141817,19143,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,1/12/2013,Standard Class,Shipped Late,Pennsylvania,Art,$0.0K,7,6,20.00%,1,$5 ,$4.88 ,$4.88 ,25.00%,3,1760,$20 ,$0.0K,$29 ,$19.54 ,4
Office Supplies,Athens,United States,JO-15145,Jack O'Briant,1/6/2013,CA-2011-106054,30605,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,1/7/2013,First Class,Shipped On Time,Georgia,Art,$0.0K,1,1,0.00%,1,$5 ,$5.24 ,$5.24 ,41.00%,3,7181,$13 ,$0.0K,$19 ,$12.78 ,4
Office Supplies,Los Angeles,United States,LS-17230,Lycoris Saunders,1/6/2013,CA-2011-130813,90049,OFF-PA-10002005,Xerox 225,West,Consumer,1/8/2013,Second Class,Shipped Early,California,Paper,$0.0K,2,3,0.00%,1,$9 ,$9.33 ,$9.33 ,48.00%,3,5328,$19 ,$0.0K,$29 ,$19.44 ,4
Furniture,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Chairs,$2.6K,4,6,0.00%,1,$746 ,$746.41 ,$746.41 ,29.00%,9,7475,"$2,574 ",$3.9K,"$3,855 ","$2,573.82 ",13
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Art,$0.0K,4,6,0.00%,1,$1 ,$1.48 ,$1.48 ,27.00%,2,7477,$5 ,$0.0K,$8 ,$5.48 ,3
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,1/6/2013,CA-2011-167199,42420,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,South,Home Office,1/10/2013,Standard Class,Shipped Early,Kentucky,Binders,$0.6K,4,6,0.00%,1,$274 ,$274.49 ,$274.49 ,45.00%,2,7476,$610 ,$0.9K,$914 ,$609.98 ,3
